2023-11-14 07:47:47.704 +03:00 [INF]  ---> request / 200
2023-11-14 07:47:52.015 +03:00 [INF]  ---> request /movie 200
2023-11-14 07:48:29.679 +03:00 [INF]  ---> request /movie 200
2023-11-14 07:48:30.795 +03:00 [INF]  ---> request /movie 200
2023-11-14 07:48:33.834 +03:00 [INF]  ---> request /movie/red-dry 200
2023-11-14 07:48:36.780 +03:00 [INF]  ---> request /movie/white-semi-sweet 200
2023-11-14 07:48:40.875 +03:00 [INF]  ---> request /movie/white-dry 200
2023-11-14 07:48:42.489 +03:00 [INF]  ---> request /Admin 200
2023-11-14 07:48:45.370 +03:00 [INF]  ---> request /Admin/Edit 200
2023-11-14 07:48:48.642 +03:00 [INF]  ---> request /Admin/Edit 302
2023-11-14 07:48:48.674 +03:00 [INF]  ---> request /Admin 200
2023-11-14 07:48:51.449 +03:00 [INF]  ---> request /Admin 200
2023-11-14 07:48:53.344 +03:00 [INF]  ---> request /Admin 200
2023-11-14 07:50:59.346 +03:00 [INF]  ---> request /Admin/Edit 302
2023-11-14 07:52:03.959 +03:00 [INF]  ---> request /Admin/Edit 302
2023-11-14 07:54:07.423 +03:00 [INF]  ---> request /Admin/Edit 302
2023-11-14 08:15:47.697 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:15:53.099 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:19:37.244 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:19:40.971 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:23:50.754 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:24:06.490 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:24:52.719 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:27:50.764 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:48:30.643 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:48:35.697 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:51:46.923 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:51:52.551 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:58:00.709 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 08:58:05.285 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 12:51:14.169 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 12:57:17.120 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 13:00:35.402 +03:00 [INF]  ---> request /api/Identity 302
2023-11-14 14:08:30.244 +03:00 [INF]  ---> request /Cart/add/1 302
2023-11-14 14:08:31.750 +03:00 [INF]  ---> request /Cart/add/2 302
2023-11-14 14:08:33.162 +03:00 [INF]  ---> request /Cart/add/3 302
2023-11-14 14:08:34.060 +03:00 [INF]  ---> request /Cart/add/2 302
2023-11-14 14:08:37.877 +03:00 [INF]  ---> request /Cart/remove/2 302
2023-11-14 14:08:38.519 +03:00 [INF]  ---> request /Cart/remove/1 302
2023-11-14 14:08:39.307 +03:00 [INF]  ---> request /Cart/remove/3 302
2023-11-16 02:45:39.695 +03:00 [INF]  ---> request /movie 404
2023-11-16 02:45:41.691 +03:00 [INF]  ---> request /movie 404
2023-11-16 02:45:43.104 +03:00 [INF]  ---> request /movie 404
2023-11-16 02:45:43.196 +03:00 [INF]  ---> request /movie 404
2023-11-16 02:45:43.592 +03:00 [INF]  ---> request /movie 404
2023-11-16 02:48:04.122 +03:00 [INF]  ---> request /movie 404
